ZTF18aaiykoz 0.03043488 239.497841 40.033895
filter ztfg
59008.382 19.465 0.168 
59008.383 19.474 0.168 
59009.195 19.041 0.060 
59009.195 18.958 0.053 
59009.383 18.788 0.073 
59009.383 18.960 0.083 
59010.383 18.347 0.034 
59010.383 18.324 0.032 
59011.195 17.788 0.014 
59011.196 17.834 0.013 
59011.383 17.707 0.021 
59011.383 17.746 0.021 
59012.214 17.357 0.009 
59012.214 17.404 0.009 
59012.300 17.355 0.009 
59012.300 17.363 0.009 
59012.383 17.284 0.012 
59012.383 17.316 0.011 
59013.207 17.037 0.008 
59013.207 17.092 0.008 
59013.382 17.032 0.009 
59013.383 17.015 0.009 
59014.214 16.752 0.006 
59014.214 16.795 0.005 
59014.382 16.746 0.007 
59014.382 16.758 0.007 
59015.195 16.581 0.007 
59015.195 16.633 0.005 
59015.383 16.573 0.006 
59015.383 16.617 0.008 
59016.204 16.477 0.005 
59016.218 16.460 0.005 
59016.218 16.514 0.010 
59016.382 16.446 0.006 
59017.195 16.328 0.005 
59017.196 16.361 0.004 
59017.385 16.339 0.004 
59018.220 16.207 0.005 
59018.221 16.241 0.004 
59018.340 16.261 0.004 
59018.381 16.193 0.006 
59018.382 16.265 0.005 
59019.195 16.154 0.004 
59019.195 16.186 0.004 
59019.261 16.140 0.004 
59019.382 16.164 0.005 
59019.382 16.166 0.004 
59020.214 16.066 0.004 
59020.215 16.145 0.005 
59020.380 16.097 0.005 
59020.381 16.118 0.004 
59021.193 16.066 0.004 
59021.194 16.106 0.005 
59022.206 16.060 0.003 
59022.206 16.023 0.004 
59022.214 16.035 0.003 
59022.214 16.084 0.004 
59022.381 16.037 0.007 
59022.381 16.076 0.005 
59023.230 16.036 0.004 
59023.322 16.079 0.004 
59023.323 16.043 0.005 
59024.276 16.035 0.003 
59024.276 16.017 0.005 
59024.371 16.050 0.004 
59025.222 16.036 0.005 
59025.223 16.029 0.005 
59025.238 16.022 0.005 
59025.244 16.076 0.005 
59026.372 16.074 0.005 
59026.373 16.106 0.005 
59027.208 16.101 0.005 
59027.247 16.093 0.005 
59028.339 16.154 0.006 
59028.351 16.125 0.006 
59028.360 16.168 0.006 
59029.236 16.159 0.008 
59029.249 16.183 0.008 
59029.292 16.177 0.010 
59030.348 16.228 0.009 
59030.349 16.223 0.008 
59031.185 16.203 0.008 
59031.187 16.239 0.008 
59031.198 16.231 0.007 
59031.204 16.231 0.007 
59031.321 16.214 0.008 
59032.364 16.305 0.009 
59032.385 16.299 0.009 
59032.386 16.304 0.010 
59033.225 16.333 0.008 
59033.228 16.317 0.009 
59033.245 16.302 0.009 
59034.232 16.350 0.008 
59034.238 16.374 0.008 
59035.220 16.447 0.014 
59035.229 16.439 0.014 
59035.230 16.462 0.011 
59035.449 16.555 0.029 
59036.207 16.478 0.008 
59036.231 16.477 0.009 
59036.236 16.514 0.008 
59037.220 16.599 0.010 
59037.221 16.629 0.010 
59037.222 16.558 0.010 
59037.223 16.624 0.012 
59037.267 16.587 0.009 
59037.337 16.617 0.011 
59037.338 16.586 0.011 
59038.237 16.626 0.006 
59038.237 16.650 0.006 
59038.276 16.663 0.008 
59039.186 16.750 0.005 
59039.187 16.726 0.005 
59039.341 16.788 0.011 
59040.224 16.831 0.005 
59040.227 16.822 0.006 
59040.235 16.810 0.005 
59040.236 16.821 0.006 
59040.251 16.832 0.006 
59041.207 16.876 0.008 
59041.380 16.932 0.013 
59041.381 16.917 0.013 
59042.202 17.019 0.007 
59042.205 16.987 0.006 
59042.317 17.025 0.009 
59042.317 17.000 0.008 
59043.197 17.098 0.007 
59043.200 17.115 0.008 
59043.216 17.081 0.007 
59043.217 17.115 0.007 
59043.218 17.111 0.007 
59043.218 17.077 0.008 
59044.199 17.187 0.007 
59044.200 17.174 0.008 
59044.202 17.190 0.009 
59044.374 17.224 0.017 
59045.249 17.283 0.009 
59045.250 17.323 0.010 
59045.250 17.291 0.008 
59045.261 17.294 0.009 
59045.286 17.275 0.009 
59046.214 17.360 0.010 
59046.215 17.386 0.009 
59046.216 17.406 0.011 
59046.351 17.363 0.013 
59046.353 17.378 0.012 
59047.244 17.432 0.009 
59047.244 17.469 0.009 
59047.245 17.472 0.009 
59047.263 17.490 0.010 
59048.262 17.586 0.017 
59048.360 17.556 0.014 
59048.362 17.577 0.015 
59049.201 17.658 0.010 
59049.201 17.597 0.010 
59049.202 17.635 0.011 
